# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-10-25 20:58:26 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09506000
#            TS   parameter     statistic     Description
#          5707       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5707_00060_00003	5707_00060_00003_cd
USGS	09506000	2020-01-28	539	A
USGS	09506000	2020-01-29	528	A
USGS	09506000	2020-01-30	447	A
USGS	09506000	2020-01-31	388	A
USGS	09506000	2020-02-01	333	A
USGS	09506000	2020-02-02	296	A
USGS	09506000	2020-02-03	274	A
USGS	09506000	2020-02-04	267	A
USGS	09506000	2020-02-05	266	A
USGS	09506000	2020-02-06	254	A
USGS	09506000	2020-02-07	247	A
USGS	09506000	2020-02-08	238	A
USGS	09506000	2020-02-09	232	A
USGS	09506000	2020-02-10	229	A
USGS	09506000	2020-02-11	248	A
USGS	09506000	2020-02-12	237	A
USGS	09506000	2020-02-13	233	A
USGS	09506000	2020-02-14	231	A
USGS	09506000	2020-02-15	228	A
USGS	09506000	2020-02-16	223	A
USGS	09506000	2020-02-17	222	A
USGS	09506000	2020-02-18	222	A
USGS	09506000	2020-02-19	220	A
USGS	09506000	2020-02-20	222	A
USGS	09506000	2020-02-21	222	A
USGS	09506000	2020-02-22	234	A
USGS	09506000	2020-02-23	256	A
USGS	09506000	2020-02-24	704	A
USGS	09506000	2020-02-25	968	A
USGS	09506000	2020-02-26	846	A
USGS	09506000	2020-02-27	567	A
USGS	09506000	2020-02-28	410	A
USGS	09506000	2020-02-29	330	A
USGS	09506000	2020-03-01	300	A
USGS	09506000	2020-03-02	280	A
USGS	09506000	2020-03-03	269	A
USGS	09506000	2020-03-04	250	A
USGS	09506000	2020-03-05	238	A
USGS	09506000	2020-03-06	233	A
USGS	09506000	2020-03-07	229	A
USGS	09506000	2020-03-08	225	A
USGS	09506000	2020-03-09	225	A
USGS	09506000	2020-03-10	226	A
USGS	09506000	2020-03-11	563	A
USGS	09506000	2020-03-12	6070	A
USGS	09506000	2020-03-13	8640	A
USGS	09506000	2020-03-14	13100	A
USGS	09506000	2020-03-15	5820	A
USGS	09506000	2020-03-16	3110	A
USGS	09506000	2020-03-17	1720	A
USGS	09506000	2020-03-18	1120	A
USGS	09506000	2020-03-19	1290	A
USGS	09506000	2020-03-20	2440	A
USGS	09506000	2020-03-21	2800	A
USGS	09506000	2020-03-22	3710	A
USGS	09506000	2020-03-23	2830	A
USGS	09506000	2020-03-24	2200	A
USGS	09506000	2020-03-25	1870	A
USGS	09506000	2020-03-26	1460	A
USGS	09506000	2020-03-27	1050	A
USGS	09506000	2020-03-28	760	A
USGS	09506000	2020-03-29	574	A
USGS	09506000	2020-03-30	459	A
USGS	09506000	2020-03-31	387	A
USGS	09506000	2020-04-01	343	A
USGS	09506000	2020-04-02	295	A
USGS	09506000	2020-04-03	261	A
USGS	09506000	2020-04-04	235	A
USGS	09506000	2020-04-05	217	A
USGS	09506000	2020-04-06	210	A
USGS	09506000	2020-04-07	201	A
USGS	09506000	2020-04-08	191	A
USGS	09506000	2020-04-09	189	A
USGS	09506000	2020-04-10	180	A
USGS	09506000	2020-04-11	166	A
USGS	09506000	2020-04-12	168	A
USGS	09506000	2020-04-13	182	A
USGS	09506000	2020-04-14	462	A
USGS	09506000	2020-04-15	587	A
USGS	09506000	2020-04-16	382	A
USGS	09506000	2020-04-17	280	A
USGS	09506000	2020-04-18	232	A
USGS	09506000	2020-04-19	201	A
USGS	09506000	2020-04-20	184	A
USGS	09506000	2020-04-21	169	A
USGS	09506000	2020-04-22	155	A
USGS	09506000	2020-04-23	153	A
USGS	09506000	2020-04-24	148	A
USGS	09506000	2020-04-25	141	A
USGS	09506000	2020-04-26	136	A
USGS	09506000	2020-04-27	134	A
USGS	09506000	2020-04-28	129	A
USGS	09506000	2020-04-29	125	A
USGS	09506000	2020-04-30	121	A
USGS	09506000	2020-05-01	115	A
USGS	09506000	2020-05-02	102	A
USGS	09506000	2020-05-03	96.9	A
USGS	09506000	2020-05-04	92.6	A
USGS	09506000	2020-05-05	96.4	A
USGS	09506000	2020-05-06	98.0	A
USGS	09506000	2020-05-07	94.6	A
USGS	09506000	2020-05-08	84.9	A
USGS	09506000	2020-05-09	79.7	A
USGS	09506000	2020-05-10	85.0	A
USGS	09506000	2020-05-11	84.7	A
USGS	09506000	2020-05-12	84.0	A
USGS	09506000	2020-05-13	79.9	A
USGS	09506000	2020-05-14	76.6	A
USGS	09506000	2020-05-15	82.2	A
USGS	09506000	2020-05-16	84.6	A
USGS	09506000	2020-05-17	78.5	A
USGS	09506000	2020-05-18	78.4	A
USGS	09506000	2020-05-19	79.7	A
USGS	09506000	2020-05-20	76.6	A
USGS	09506000	2020-05-21	70.5	A
USGS	09506000	2020-05-22	70.6	A
USGS	09506000	2020-05-23	68.9	A
USGS	09506000	2020-05-24	71.5	A
USGS	09506000	2020-05-25	75.8	A
USGS	09506000	2020-05-26	74.1	A
USGS	09506000	2020-05-27	71.2	A
USGS	09506000	2020-05-28	63.1	A
USGS	09506000	2020-05-29	53.6	A
USGS	09506000	2020-05-30	48.1	A
USGS	09506000	2020-05-31	47.9	A
USGS	09506000	2020-06-01	49.7	A
USGS	09506000	2020-06-02	52.1	A
USGS	09506000	2020-06-03	54.0	A
USGS	09506000	2020-06-04	60.8	A
USGS	09506000	2020-06-05	58.3	A
USGS	09506000	2020-06-06	55.5	A
USGS	09506000	2020-06-07	54.8	A
USGS	09506000	2020-06-08	55.0	A
USGS	09506000	2020-06-09	56.7	A
USGS	09506000	2020-06-10	55.6	A
USGS	09506000	2020-06-11	54.1	A
USGS	09506000	2020-06-12	47.3	A
USGS	09506000	2020-06-13	48.0	A
USGS	09506000	2020-06-14	47.9	A
USGS	09506000	2020-06-15	45.4	A
USGS	09506000	2020-06-16	49.0	A
USGS	09506000	2020-06-17	52.6	A
USGS	09506000	2020-06-18	49.8	A
USGS	09506000	2020-06-19	47.7	A
USGS	09506000	2020-06-20	45.9	A
USGS	09506000	2020-06-21	46.4	A
USGS	09506000	2020-06-22	44.5	A
USGS	09506000	2020-06-23	41.7	A
USGS	09506000	2020-06-24	39.2	A:e
USGS	09506000	2020-06-25	41.2	A
USGS	09506000	2020-06-26	39.6	A
USGS	09506000	2020-06-27	33.1	A
USGS	09506000	2020-06-28	32.4	A
USGS	09506000	2020-06-29	32.6	A
USGS	09506000	2020-06-30	32.9	A
USGS	09506000	2020-07-01	35.9	A
USGS	09506000	2020-07-02	41.5	A
USGS	09506000	2020-07-03	42.4	A
USGS	09506000	2020-07-04	39.4	A
USGS	09506000	2020-07-05	38.8	A
USGS	09506000	2020-07-06	42.5	A
USGS	09506000	2020-07-07	42.3	A
USGS	09506000	2020-07-08	41.7	A
USGS	09506000	2020-07-09	38.3	A
USGS	09506000	2020-07-10	35.2	A
USGS	09506000	2020-07-11	35.6	A
USGS	09506000	2020-07-12	38.0	A
USGS	09506000	2020-07-13	37.4	A
USGS	09506000	2020-07-14	36.6	A
USGS	09506000	2020-07-15	35.1	A
USGS	09506000	2020-07-16	37.4	A
USGS	09506000	2020-07-17	40.6	A
USGS	09506000	2020-07-18	40.2	A
USGS	09506000	2020-07-19	41.7	A
USGS	09506000	2020-07-20	42.9	A
USGS	09506000	2020-07-21	39.6	A
USGS	09506000	2020-07-22	44.6	A
USGS	09506000	2020-07-23	50.0	A
USGS	09506000	2020-07-24	61.1	A
USGS	09506000	2020-07-25	130	A
USGS	09506000	2020-07-26	142	A
USGS	09506000	2020-07-27	107	A
USGS	09506000	2020-07-28	84.5	A
USGS	09506000	2020-07-29	71.3	A
USGS	09506000	2020-07-30	62.3	A
USGS	09506000	2020-07-31	51.0	A
USGS	09506000	2020-08-01	55.9	A
USGS	09506000	2020-08-02	51.9	A
USGS	09506000	2020-08-03	48.8	A
USGS	09506000	2020-08-04	45.4	A
USGS	09506000	2020-08-05	42.6	A
USGS	09506000	2020-08-06	43.3	A
USGS	09506000	2020-08-07	42.7	A
USGS	09506000	2020-08-08	38.2	A
USGS	09506000	2020-08-09	35.5	A
USGS	09506000	2020-08-10	36.6	A
USGS	09506000	2020-08-11	34.0	A
USGS	09506000	2020-08-12	33.7	A
USGS	09506000	2020-08-13	35.1	A
USGS	09506000	2020-08-14	37.3	A
USGS	09506000	2020-08-15	35.1	A
USGS	09506000	2020-08-16	33.2	A
USGS	09506000	2020-08-17	31.6	A
USGS	09506000	2020-08-18	30.5	A
USGS	09506000	2020-08-19	29.7	A
USGS	09506000	2020-08-20	34.2	A
USGS	09506000	2020-08-21	42.6	A
USGS	09506000	2020-08-22	46.0	A
USGS	09506000	2020-08-23	49.8	A
USGS	09506000	2020-08-24	59.9	A
USGS	09506000	2020-08-25	58.6	P
USGS	09506000	2020-08-26	59.8	P:e
USGS	09506000	2020-08-27	54.8	P
USGS	09506000	2020-08-28	46.2	P
USGS	09506000	2020-08-29	46.1	P
USGS	09506000	2020-08-30	52.6	P
USGS	09506000	2020-08-31	59.3	P
USGS	09506000	2020-09-01	65.3	P
USGS	09506000	2020-09-02	63.3	P
USGS	09506000	2020-09-03	60.6	P
USGS	09506000	2020-09-04	51.4	P
USGS	09506000	2020-09-05	47.3	P
USGS	09506000	2020-09-06	46.1	P
USGS	09506000	2020-09-07	40.4	P
USGS	09506000	2020-09-08	38.5	P
USGS	09506000	2020-09-09	36.6	P
USGS	09506000	2020-09-10	39.2	P
USGS	09506000	2020-09-11	44.9	P
USGS	09506000	2020-09-12	50.1	P
USGS	09506000	2020-09-13	53.3	P
USGS	09506000	2020-09-14	57.5	P
USGS	09506000	2020-09-15	58.2	P
USGS	09506000	2020-09-16	57.4	P
USGS	09506000	2020-09-17	57.3	P
USGS	09506000	2020-09-18	55.6	P
USGS	09506000	2020-09-19	54.1	P
USGS	09506000	2020-09-20	52.6	P
USGS	09506000	2020-09-21	55.9	P
USGS	09506000	2020-09-22	60.0	P
USGS	09506000	2020-09-23	64.5	P
USGS	09506000	2020-09-24	62.2	P
USGS	09506000	2020-09-25	58.1	P
USGS	09506000	2020-09-26	55.7	P
USGS	09506000	2020-09-27	59.6	P
USGS	09506000	2020-09-28	57.3	P
USGS	09506000	2020-09-29	52.7	P
USGS	09506000	2020-09-30	58.0	P
USGS	09506000	2020-10-01	59.3	P
USGS	09506000	2020-10-02	57.5	P
USGS	09506000	2020-10-03	56.6	P
USGS	09506000	2020-10-04	57.6	P
USGS	09506000	2020-10-05	60.7	P
USGS	09506000	2020-10-06	60.3	P
USGS	09506000	2020-10-07	60.9	P
USGS	09506000	2020-10-08	63.4	P
USGS	09506000	2020-10-09	62.8	P
USGS	09506000	2020-10-10	67.3	P
USGS	09506000	2020-10-11	70.9	P
USGS	09506000	2020-10-12	69.3	P
USGS	09506000	2020-10-13	68.1	P
USGS	09506000	2020-10-14	66.2	P
USGS	09506000	2020-10-15	68.1	P
USGS	09506000	2020-10-16	69.6	P
USGS	09506000	2020-10-17	69.7	P
USGS	09506000	2020-10-18	67.9	P
USGS	09506000	2020-10-19	70.4	P
USGS	09506000	2020-10-20	75.0	P
USGS	09506000	2020-10-21	75.4	P
USGS	09506000	2020-10-22	74.0	P
USGS	09506000	2020-10-23	77.2	P
USGS	09506000	2020-10-24	80.7	P
